dept,arrv
LUK,OAJ
LUK,SWF
LUK,EVV
LUK,LNK
LUK,BET
LUK,DLH
LUK,PBG
LUK,GFK
LUK,TTN
LUK,IDA
LUK,BFL
LUK,SBP
LUK,IFP
LUK,SCE
LUK,ELM
LUK,AZO
LUK,LBE
LUK,GCN
LUK,KTN
LUK,EWN
LUK,MBS
LUK,CWA
LUK,MLU
LUK,STS
LUK,LRD
LUK,RST
LUK,ERI
LUK,RFD
LUK,HTS
LUK,ILG
LUK,BLD
LUK,ITH
LUK,IAG
LUK,ENA
LUK,HLN
LUK,ISN
LUK,PSE
LUK,BGM
LUK,LSE
LUK,LYH
LUK,HDN
LUK,CPR
LUK,TOL
LUK,HYA
LUK,CMI
LUK,MTJ
LUK,BRO
LUK,FSM
LUK,ADQ
LUK,SIT
LUK,YUM
LUK,HHH
LUK,SCC
LUK,TYR
LUK,ABI
LUK,CLL
LUK,SCK
LUK,SPI
LUK,OTZ
LUK,SAF
LUK,MHK
LUK,LCH
LUK,GRI
LUK,MKK
LUK,SBY
LUK,LWS
LUK,ACT
LUK,PGV
LUK,OME
LUK,GCW
LUK,CSG
LUK,FLG
LUK,ORH
LUK,ACV
LUK,VQS
LUK,SJT
LUK,LAW
LUK,YKM
LUK,FLO
LUK,CLD
LUK,SUN
LUK,MVY
LUK,SMX
LUK,ENV
LUK,PPG
LUK,BRW
LUK,YNG
LUK,LNY
LUK,EAT
LUK,DHN
LUK,COU
LUK,SPS
LUK,MQT
LUK,GTR
LUK,HOM
LUK,SGU
LUK,HVN
LUK,VLD
LUK,AKN
LUK,PUW
LUK,DIK
LUK,BFI
LUK,DBQ
LUK,TXK
LUK,GCC
LUK,ROW
LUK,BQK
LUK,DUT
LUK,ABY
LUK,MMH
LUK,GUC
LUK,PVU
LUK,BTM
LUK,ALW
LUK,NRR
LUK,TWF
LUK,COD
LUK,PLN
LUK,DLG
LUK,RKS
LUK,SUX
LUK,CMX
LUK,RDD
LUK,GCK
LUK,PSM
LUK,PIH
LUK,OWB
LUK,IPT
LUK,JLN
LUK,BJI
LUK,GGG
LUK,CIU
LUK,EAU
LUK,ALO
LUK,PSG
