Airport name,DST,IATA,ICAO,Location served,Time
Canouan Airport,,CIW,TVSC,"Canouan, Saint Vincent and the Grenadines",UTC−04:00
FAP Captain José Abelardo Quiñones Gonzáles International Airport,,CIX,SPHI,"Chiclayo, Peru",UTC−05:00
Comiso Airport,Mar-Oct,CIY,LICB,"Comiso, Sicily, Italy",UTC+01:00
Coari Airport,,CIZ,SWKO,"Coari, Amazonas, Brazil",UTC−04:00
Mayor General FAP Armando Revoredo Iglesias Airport,,CJA,SPJR,"Cajamarca, Peru",UTC−05:00
Coimbatore International Airport,,CJB,VOCB,"Coimbatore, Tamil Nadu, India",UTC+05:30
El Loa Airport,Aug-May,CJC,SCCF,"Calama, Chile",UTC−04:00
Candilejas Airport,,CJD,,"Candilejas, Colombia",UTC−05:00
Coondewanna Airport,,CJF,YCWA,"Coondewanna, Western Australia, Australia",UTC+08:00
Chilko Lake (Tsylos Park Lodge) Aerodrome (TC: CAG3),Mar-Nov,CJH,,"Chilko Lake, British Columbia, Canada",UTC−08:00
Cheongju International Airport,,CJJ,RKTU,"Cheongju, South Korea",UTC+09:00
Chitral Airport,,CJL,OPCH,"Chitral, Pakistan",UTC+05:00
Chumphon Airport,,CJM,VTSE,"Chumphon, Thailand",UTC+07:00
Abraham González International Airport,Mar-Nov,CJS,MMCS,"Ciudad Juárez, Chihuahua, Mexico",UTC−07:00
Copalar Airport,Apr-Oct,CJT,MMCO,"Comitán, Chiapas, Mexico",UTC−06:00
Jeju International Airport,,CJU,RKPC,"Jeju, South Korea",UTC+09:00
Kegelman Air Force Auxiliary Field,Mar-Nov,CKA,KCKA,"Cherokee, Oklahoma, United States",UTC−06:00
North Central West Virginia Airport,Mar-Nov,CKB,KCKB,"Clarksburg, West Virginia, United States",UTC−05:00
Cherkasy International Airport,Mar-Oct,CKC,UKKE,"Cherkasy, Ukraine",UTC+02:00
Crooked Creek Airport (FAA: CJX),Mar-Nov,CKD,,"Crooked Creek, Alaska, United States",UTC−09:00
Lampson Field[1] (FAA: 1O2),Mar-Nov,CKE,,"Lakeport, California, United States",UTC−08:00
Chongqing Jiangbei International Airport,,CKG,ZUCK,"Chongqing, China",UTC+08:00
Chokurdakh Airport,,CKH,UESO,"Chokurdakh, Yakutia, Russia",UTC+11:00
